epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,4008.17,0.89103,0.6067,1.19916,0.90535,0.87443,0.92587,0.68948,0.91394,0.48487,1.23809,0.00101,0.00101,0.00101
27,4160.04,0.88327,0.60042,1.1969,0.90201,0.87557,0.92526,0.69025,0.92115,0.49275,1.24867,0.0009704,0.0009704,0.0009704
28,4312.06,0.87292,0.58609,1.18754,0.90442,0.87496,0.92722,0.68481,0.92119,0.49601,1.24569,0.0009308,0.0009308,0.0009308
29,4463.57,0.86241,0.5735,1.1798,0.901,0.88242,0.92363,0.68542,0.91056,0.47342,1.24071,0.0008912,0.0008912,0.0008912
30,4614.9,0.85292,0.57025,1.17629,0.90782,0.88817,0.93681,0.6917,0.91396,0.4743,1.23813,0.0008516,0.0008516,0.0008516
31,4766.71,0.83769,0.55403,1.1656,0.90706,0.88242,0.92679,0.69198,0.91839,0.47464,1.24542,0.000812,0.000812,0.000812
32,4918.08,0.83352,0.55633,1.16409,0.92465,0.86851,0.92865,0.69691,0.90813,0.46338,1.23667,0.0007724,0.0007724,0.0007724
33,5069.44,0.81919,0.54206,1.16046,0.91793,0.86826,0.92608,0.69449,0.90198,0.47766,1.23108,0.0007328,0.0007328,0.0007328
34,5221.05,0.81647,0.54004,1.15334,0.90745,0.88424,0.93056,0.69462,0.91351,0.45942,1.2492,0.0006932,0.0006932,0.0006932
35,5372.62,0.8004,0.53105,1.1451,0.90246,0.88725,0.92606,0.69639,0.90352,0.4758,1.23552,0.0006536,0.0006536,0.0006536
36,5524.58,0.79551,0.52637,1.14006,0.92679,0.86758,0.93206,0.69933,0.90251,0.46774,1.23936,0.000614,0.000614,0.000614
37,5677.24,0.78385,0.51425,1.13205,0.91665,0.87882,0.93529,0.70089,0.90275,0.46868,1.2401,0.0005744,0.0005744,0.0005744
38,5829.16,0.77898,0.51496,1.13088,0.90077,0.89041,0.92901,0.69754,0.89711,0.47586,1.22929,0.0005348,0.0005348,0.0005348
39,5980.81,0.76533,0.50063,1.1255,0.90155,0.90183,0.93098,0.69955,0.89614,0.46722,1.23271,0.0004952,0.0004952,0.0004952
40,6132.24,0.76758,0.50036,1.12782,0.90162,0.8893,0.9291,0.69803,0.90322,0.47026,1.24205,0.0004556,0.0004556,0.0004556
41,6285.28,0.70716,0.38463,1.10472,0.90296,0.8923,0.9271,0.6952,0.90668,0.46515,1.25091,0.000416,0.000416,0.000416
