epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,36077.5,1.05666,0.90819,1.2921,0.71639,0.67645,0.71751,0.45769,1.17738,0.78314,1.43966,0.003796,0.003796,0.003796
96,36458.9,1.05138,0.89713,1.28989,0.70131,0.68224,0.71719,0.45779,1.17671,0.78231,1.43878,0.00373,0.00373,0.00373
97,36855.6,1.04889,0.89457,1.28751,0.71405,0.67311,0.71801,0.45849,1.17532,0.78179,1.43737,0.003664,0.003664,0.003664
98,37259.8,1.04555,0.89364,1.28522,0.71077,0.67742,0.71895,0.45949,1.17413,0.7809,1.43618,0.003598,0.003598,0.003598
99,37636.5,1.04398,0.88868,1.28238,0.70521,0.6801,0.72012,0.45972,1.17229,0.779,1.43473,0.003532,0.003532,0.003532
100,38019,1.04085,0.8831,1.28345,0.71679,0.67939,0.72054,0.4598,1.17065,0.77775,1.43335,0.003466,0.003466,0.003466
101,38395.7,1.0443,0.88309,1.2827,0.70325,0.68591,0.7207,0.46023,1.17007,0.77604,1.43274,0.0034,0.0034,0.0034
102,38775.5,1.04089,0.88379,1.28016,0.71419,0.68118,0.72152,0.45987,1.16882,0.77514,1.43169,0.003334,0.003334,0.003334
103,39190.4,1.03821,0.87992,1.27818,0.70061,0.67932,0.72211,0.46226,1.16754,0.7741,1.43064,0.003268,0.003268,0.003268
104,39975.9,1.03639,0.86924,1.27732,0.6966,0.68826,0.72321,0.46285,1.16648,0.77229,1.42984,0.003202,0.003202,0.003202
105,40528.3,1.03415,0.87071,1.2746,0.69799,0.68671,0.72331,0.46418,1.16475,0.77041,1.42847,0.003136,0.003136,0.003136
106,40906.3,1.03305,0.86863,1.27564,0.69998,0.6844,0.72499,0.46526,1.16337,0.76889,1.427,0.00307,0.00307,0.00307
107,41283.5,1.02582,0.86056,1.27229,0.70303,0.68588,0.72564,0.46494,1.16213,0.7675,1.42595,0.003004,0.003004,0.003004
108,41660.8,1.02397,0.86391,1.26979,0.70327,0.68106,0.72481,0.46521,1.16115,0.76547,1.42537,0.002938,0.002938,0.002938
109,42038.1,1.0255,0.85471,1.26955,0.69884,0.68101,0.72518,0.46588,1.15969,0.76392,1.42439,0.002872,0.002872,0.002872
110,42416.6,1.02258,0.8531,1.2662,0.70511,0.68017,0.72441,0.46582,1.15765,0.76331,1.42286,0.002806,0.002806,0.002806
111,42794.2,1.01898,0.84771,1.26667,0.70833,0.68145,0.72621,0.46666,1.15568,0.76158,1.42125,0.00274,0.00274,0.00274
112,43172.4,1.02025,0.8431,1.26498,0.7081,0.68192,0.72547,0.46679,1.15434,0.75997,1.42011,0.002674,0.002674,0.002674
113,44080.3,1.01473,0.84111,1.26106,0.70896,0.68098,0.727,0.4669,1.15317,0.75986,1.41941,0.002608,0.002608,0.002608
114,45236.2,1.01183,0.83632,1.26217,0.7033,0.68218,0.72739,0.46789,1.15238,0.75824,1.41873,0.002542,0.002542,0.002542
115,46285.3,1.00711,0.83254,1.2581,0.69943,0.68611,0.72733,0.46834,1.15165,0.75758,1.41808,0.002476,0.002476,0.002476
116,47464.5,1.00518,0.82574,1.2548,0.69104,0.69346,0.72807,0.46947,1.15021,0.75638,1.41659,0.00241,0.00241,0.00241
117,48644.2,1.00202,0.82605,1.25346,0.68703,0.69405,0.72779,0.46888,1.14914,0.75611,1.41551,0.002344,0.002344,0.002344
118,49940.4,0.99938,0.82202,1.25192,0.69499,0.68591,0.72873,0.47016,1.14799,0.75525,1.41469,0.002278,0.002278,0.002278
119,51099.6,0.99783,0.81607,1.25204,0.75266,0.67922,0.72984,0.47124,1.14645,0.75446,1.41365,0.002212,0.002212,0.002212
120,52153.7,0.99774,0.81804,1.25048,0.75345,0.67877,0.73027,0.47047,1.1445,0.75307,1.41206,0.002146,0.002146,0.002146
121,53269.5,0.99363,0.80922,1.24856,0.75357,0.67618,0.73115,0.47111,1.14292,0.75243,1.41084,0.00208,0.00208,0.00208
122,54303.4,0.98945,0.80379,1.24807,0.75691,0.67293,0.73083,0.47178,1.14179,0.75237,1.40991,0.002014,0.002014,0.002014
123,55266.6,0.98293,0.8026,1.24386,0.7573,0.67368,0.73087,0.47253,1.14038,0.75177,1.40867,0.001948,0.001948,0.001948
124,56367.3,0.98255,0.79465,1.23926,0.75832,0.67328,0.7315,0.47377,1.13895,0.75147,1.40713,0.001882,0.001882,0.001882
125,57339.1,0.97966,0.79212,1.23885,0.76196,0.67069,0.73162,0.47259,1.13739,0.75049,1.40574,0.001816,0.001816,0.001816
126,58436.5,0.97598,0.79171,1.23615,0.75521,0.67186,0.72978,0.47201,1.13626,0.74973,1.40473,0.00175,0.00175,0.00175
